nama;cash;cash_type;cash_score;property_plant_equipment;sumber_asset_lainnya;asset_lainnya;asset_lainnya_type;asset_lainnya_score;sumber_asset_keluarga;asset_keluarga;asset_keluarga_type;asset_keluarga_score;total_asset;total_asset_type;total_asset_score;total_hutang;modal;debt_to_asset_ratio;debt_to_asset_ratio_cat;debt_to_asset_ratio_score;equity_to_asset_ratio;equity_to_asset_ratio_cat;equity_to_asset_ratio_score;debt_to_equity_ratio;debt_to_equity_ratio_cat;debt_to_equity_ratio_score;cash_financial_inflow;cash_financial_outflow;cash_flow_financial;cash_flow_financial_type;cash_flow_financial_score;target
Lisa Villegas;66134000;>=25.000.000;1000;36541000;inventory;86652000;>= 50000000 dan <100000000;500;Dana pensiun;8579874000;>=2000000000;1000;8769201000;>=7000000000;1000;362584000;8406617000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;20882000;31084000;-10202000;arus kas negatif;0;797,5
Christopher Alexander;52944000;>=25.000.000;1000;95616000;asset keluarga ;832157000;>=200000000;1000;Investasi;8906594000;>=2000000000;1000;9887311000;>=7000000000;1000;708761000;9178550000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;56826000;86367000;-29541000;arus kas negatif;0;847,5
Elizabeth Pruitt;71178000;>=25.000.000;1000;29763000;property, plant and equipment;241784000;>=200000000;1000;Investasi;5651582000;>=2000000000;1000;5994307000;>=5000000000 dan < 7000000000;1000;159955000;5834352000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;53852000;69226000;-15374000;arus kas negatif;0;863,75
Kim Hall;3809000;<5.000.000;250;64031000;property, plant and equipment;994574000;>=200000000;1000;Kendaraan;5756423000;>=2000000000;1000;6818837000;>=5000000000 dan < 7000000000;1000;721092000;6097745000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;65548000;25988000;39560000;arus kas positif;1000;863,75
Michael Saunders;3930000;<5.000.000;250;89442000;asset keluarga ;479353000;>=200000000;1000;Rumah dan properti;3719350000;>=2000000000;1000;4292075000;>= 1000000000 dan <5000000000;500;718638000;3573437000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;45579000;23774000;21805000;arus kas positif;1000;776,25
Mr. Kyle Jones;23494000;>=15.000.000 dan < 25.000.000;750;70211000;property, plant and equipment;51901000;>= 50000000 dan <100000000;500;Investasi;7937007000;>=2000000000;1000;8082613000;>=7000000000;1000;372245000;7710368000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;69053000;99832000;-30779000;arus kas negatif;0;762,5
Lauren Smith;46720000;>=25.000.000;1000;91102000;property, plant and equipment;58423000;>= 50000000 dan <100000000;500;Kendaraan;1429160000;>=1000000000 dan < 2000000000;750;1625405000;>= 1000000000 dan <5000000000;500;814745000;810660000;0,5;good;500;0,5;good;500;1,01;bad;-10;70705000;76550000;-5845000;arus kas negatif;0;467,5
Nicholas Pierce;89483000;>=25.000.000;1000;25324000;asset keluarga ;976525000;>=200000000;1000;Tabungan dan deposito;8643179000;>=2000000000;1000;9734511000;>=7000000000;1000;438312000;9296199000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;48805000;35600000;13205000;arus kas positif;1000;981,25
Debbie Sullivan;47457000;>=25.000.000;1000;74347000;property, plant and equipment;703249000;>=200000000;1000;Investasi;8789705000;>=2000000000;1000;9614758000;>=7000000000;1000;561595000;9053163000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;74524000;26239000;48285000;arus kas positif;1000;977,5
Samuel Miller;81505000;>=25.000.000;1000;45769000;inventory;52170000;>= 50000000 dan <100000000;500;Tabungan dan deposito;5316630000;>=2000000000;1000;5496074000;>=5000000000 dan < 7000000000;1000;973570000;4522504000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;61877000;67012000;-5135000;arus kas negatif;0;740
Keith Smith;58115000;>=25.000.000;1000;63521000;asset keluarga ;575951000;>=200000000;1000;Kendaraan;582205000;>= 500000000 dan <1000000000;500;1279792000;>= 1000000000 dan <5000000000;500;557662000;722130000;0,44;good;560;0,56;good;560;0,77;good;230;61035000;16824000;44211000;arus kas positif;1000;668,75
Anthony Johnson;81204000;>=25.000.000;1000;94705000;asset keluarga ;69099000;>= 50000000 dan <100000000;500;Dana pensiun;3531020000;>=2000000000;1000;3776028000;>= 1000000000 dan <5000000000;500;945628000;2830400000;0,25;excellent;750;0,75;excellent;750;0,33;good;670;58453000;92170000;-33717000;arus kas negatif;0;646,25
Theresa Bradshaw;87743000;>=25.000.000;1000;47363000;asset keluarga ;378935000;>=200000000;1000;Kendaraan;8818211000;>=2000000000;1000;9332252000;>=7000000000;1000;449979000;8882273000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;62147000;51811000;10336000;arus kas positif;1000;981,25
Michelle Oneal MD;19115000;>=15.000.000 dan < 25.000.000;750;54618000;inventory;710741000;>=200000000;1000;Investasi;2261332000;>=2000000000;1000;3045806000;>= 1000000000 dan <5000000000;500;964901000;2080905000;0,32;good;680;0,68;good;680;0,46;good;540;91277000;81758000;9519000;arus kas positif;1000;768,75
Michael Carpenter;12471000;>= 5.000.000 dan <15.000.000;500;31690000;property, plant and equipment;636821000;>=200000000;1000;Investasi;7648574000;>=2000000000;1000;8329556000;>=7000000000;1000;253067000;8076489000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;18151000;22574000;-4423000;arus kas negatif;0;801,25
Krista Moore;5235000;>= 5.000.000 dan <15.000.000;500;54095000;asset keluarga ;795618000;>=200000000;1000;Aset finansial lainnya;8064519000;>=2000000000;1000;8919467000;>=7000000000;1000;207214000;8712253000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;98806000;62700000;36106000;arus kas positif;1000;930
Karen Matthews;98806000;>=25.000.000;1000;31658000;inventory;97139000;>= 50000000 dan <100000000;500;Rumah dan properti;8720039000;>=2000000000;1000;8947642000;>=7000000000;1000;982005000;7965637000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;49859000;67792000;-17933000;arus kas negatif;0;770
Lori Allen;7011000;>= 5.000.000 dan <15.000.000;500;80244000;asset keluarga ;73094000;>= 50000000 dan <100000000;500;Kendaraan;5271088000;>=2000000000;1000;5431437000;>=5000000000 dan < 7000000000;1000;138326000;5293111000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;21983000;86109000;-64126000;arus kas negatif;0;738,75
Dennis Taylor;61226000;>=25.000.000;1000;28685000;asset keluarga ;862062000;>=200000000;1000;Aset finansial lainnya;3379447000;>=2000000000;1000;4331420000;>= 1000000000 dan <5000000000;500;195482000;4135938000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;21981000;23621000;-1640000;arus kas negatif;0;793,75
Walter Ritter;35968000;>=25.000.000;1000;56052000;asset keluarga ;816629000;>=200000000;1000;Investasi;6805514000;>=2000000000;1000;7714163000;>=7000000000;1000;927943000;6786220000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;14173000;97279000;-83106000;arus kas negatif;0;827,5
Autumn Leonard;59665000;>=25.000.000;1000;97697000;asset keluarga ;259292000;>=200000000;1000;Dana pensiun;699173000;>= 500000000 dan <1000000000;500;1115827000;>= 1000000000 dan <5000000000;500;167605000;948222000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;67256000;14552000;52704000;arus kas positif;1000;815
Cassandra Bailey;32083000;>=25.000.000;1000;82522000;property, plant and equipment;806895000;>=200000000;1000;Kendaraan;4080053000;>=2000000000;1000;5001553000;>=5000000000 dan < 7000000000;500;652432000;4349121000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;45302000;59981000;-14679000;arus kas negatif;0;761,25
Roy Price;94162000;>=25.000.000;1000;50311000;asset keluarga ;21283000;<50000000;250;Rumah dan properti;918697000;>= 500000000 dan <1000000000;500;1084453000;>= 1000000000 dan <5000000000;500;812368000;272085000;0,75;bad;250;0,25;bad;250;2,99;bad;-1990;57209000;90381000;-33172000;arus kas negatif;0;95
Ann Peters;31603000;>=25.000.000;1000;30981000;inventory;28046000;<50000000;250;Tabungan dan deposito;99870000;<500000000;250;190500000;<1000000000;250;663310000;-472810000;3,48;bad;-2480;-2,48;bad;-2480;-1,4;bad;2400;75898000;68483000;7415000;arus kas positif;1000;23,75
Sara Martin;49332000;>=25.000.000;1000;36942000;inventory;446215000;>=200000000;1000;Kendaraan;5971869000;>=2000000000;1000;6504358000;>=5000000000 dan < 7000000000;250;565999000;5938359000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;64903000;91954000;-27051000;arus kas negatif;0;746,25
John Perez;66722000;>=25.000.000;1000;34197000;inventory;230617000;>=200000000;1000;Rumah dan properti;657769000;>= 500000000 dan <1000000000;500;989305000;<1000000000;250;493700000;495605000;0,5;good;500;0,5;good;500;1;bad;0;78934000;37308000;41626000;arus kas positif;1000;593,75
Katherine Charles;6273000;>= 5.000.000 dan <15.000.000;500;76898000;asset keluarga ;501670000;>=200000000;1000;Investasi;5514832000;>=2000000000;1000;6099673000;>=5000000000 dan < 7000000000;250;826781000;5272892000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;53991000;86986000;-32995000;arus kas negatif;0;663,75
Michael Parker;22362000;>=15.000.000 dan < 25.000.000;750;16825000;property, plant and equipment;937931000;>=200000000;1000;Tabungan dan deposito;9537645000;>=2000000000;1000;10514763000;>=7000000000;1000;467399000;10047364000;0,04;excellent;960;0,96;excellent;960;0,05;excellent;950;90265000;43875000;46390000;arus kas positif;1000;952,5
Robert Johnson;21960000;>=15.000.000 dan < 25.000.000;750;55159000;inventory;691819000;>=200000000;1000;Dana pensiun;3673537000;>=2000000000;1000;4442475000;>= 1000000000 dan <5000000000;500;849663000;3592812000;0,19;excellent;810;0,81;excellent;810;0,24;excellent;760;40281000;28373000;11908000;arus kas positif;1000;828,75
Erica Ramirez;27361000;>=25.000.000;1000;46942000;inventory;905929000;>=200000000;1000;Investasi;4611316000;>=2000000000;1000;5591548000;>=5000000000 dan < 7000000000;500;747042000;4844506000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;27330000;57080000;-29750000;arus kas negatif;0;761,25
Benjamin Carey;35655000;>=25.000.000;1000;63828000;property, plant and equipment;641537000;>=200000000;1000;Dana pensiun;4548069000;>=2000000000;1000;5289089000;>=5000000000 dan < 7000000000;500;899089000;4390000000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;75006000;11548000;63458000;arus kas positif;1000;870
Samuel Davis;48562000;>=25.000.000;1000;18264000;property, plant and equipment;222277000;>=200000000;1000;Kendaraan;6871445000;>=2000000000;1000;7160548000;>=7000000000;1000;105175000;7055373000;0,01;excellent;990;0,99;excellent;990;0,01;excellent;990;11331000;93332000;-82001000;arus kas negatif;0;871,25
Michael Mcguire;35413000;>=25.000.000;1000;25894000;asset keluarga ;699114000;>=200000000;1000;Kendaraan;1703558000;>=1000000000 dan < 2000000000;750;2463979000;>= 1000000000 dan <5000000000;500;436727000;2027252000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;84220000;83954000;266000;arus kas positif;1000;833,75
Austin Spencer;28962000;>=25.000.000;1000;59816000;asset keluarga ;41588000;<50000000;250;Dana pensiun;9984392000;>=2000000000;1000;10114758000;>=7000000000;1000;984212000;9130546000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;61050000;61191000;-141000;arus kas negatif;0;742,5
Sally Lozano;9399000;>= 5.000.000 dan <15.000.000;500;30170000;property, plant and equipment;188098000;>=100000000 dan < 200000000;750;Tabungan dan deposito;6165379000;>=2000000000;1000;6393046000;>=5000000000 dan < 7000000000;1000;372149000;6020897000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;57735000;55493000;2242000;arus kas positif;1000;883,75
John Valencia;44992000;>=25.000.000;1000;68434000;asset keluarga ;986269000;>=200000000;1000;Tabungan dan deposito;3905230000;>=2000000000;1000;5004925000;>=5000000000 dan < 7000000000;1000;657670000;4347255000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;81433000;75387000;6046000;arus kas positif;1000;948,75
Yvette Hall;75316000;>=25.000.000;1000;89436000;asset keluarga ;313448000;>=200000000;1000;Aset finansial lainnya;1696341000;>=1000000000 dan < 2000000000;750;2174541000;>= 1000000000 dan <5000000000;500;952122000;1222419000;0,44;good;560;0,56;good;560;0,78;good;220;58367000;10225000;48142000;arus kas positif;1000;698,75
Kevin Ferguson;11119000;>= 5.000.000 dan <15.000.000;500;66166000;asset keluarga ;627439000;>=200000000;1000;Kendaraan;5362459000;>=2000000000;1000;6067183000;>=5000000000 dan < 7000000000;500;862308000;5204875000;0,14;excellent;860;0,86;excellent;860;0,17;excellent;830;98838000;26081000;72757000;arus kas positif;1000;818,75
Richard Contreras;82141000;>=25.000.000;1000;47590000;asset keluarga ;432157000;>=200000000;1000;Kendaraan;6216045000;>=2000000000;1000;6777933000;>=5000000000 dan < 7000000000;500;133447000;6644486000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;10235000;26988000;-16753000;arus kas negatif;0;805
Benjamin Nixon;87335000;>=25.000.000;1000;21358000;asset keluarga ;611533000;>=200000000;1000;Aset finansial lainnya;5268822000;>=2000000000;1000;5989048000;>=5000000000 dan < 7000000000;500;670604000;5318444000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;29216000;15498000;13718000;arus kas positif;1000;893,75
Michael Figueroa;96232000;>=25.000.000;1000;46136000;property, plant and equipment;708388000;>=200000000;1000;Investasi;3557762000;>=2000000000;1000;4408518000;>= 1000000000 dan <5000000000;500;735135000;3673383000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;41216000;22130000;19086000;arus kas positif;1000;870
Veronica Long;94331000;>=25.000.000;1000;95937000;asset keluarga ;445244000;>=200000000;1000;Dana pensiun;9326507000;>=2000000000;1000;9962019000;>=7000000000;1000;345548000;9616471000;0,03;excellent;970;0,97;excellent;970;0,04;excellent;960;54509000;85809000;-31300000;arus kas negatif;0;862,5
Tina Johnson;47019000;>=25.000.000;1000;57273000;asset keluarga ;614258000;>=200000000;1000;Aset finansial lainnya;5689435000;>=2000000000;1000;6407985000;>=5000000000 dan < 7000000000;1000;567678000;5840307000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;87544000;70945000;16599000;arus kas positif;1000;965
Nathaniel Gross;71118000;>=25.000.000;1000;89951000;asset keluarga ;429175000;>=200000000;1000;Rumah dan properti;3077512000;>=2000000000;1000;3667756000;>= 1000000000 dan <5000000000;500;528716000;3139040000;0,14;excellent;860;0,86;excellent;860;0,17;excellent;830;22011000;80412000;-58401000;arus kas negatif;0;756,25
Sarah Sanchez;39114000;>=25.000.000;1000;30871000;property, plant and equipment;156164000;>=100000000 dan < 200000000;750;Dana pensiun;729020000;>= 500000000 dan <1000000000;500;955169000;<1000000000;250;216092000;739077000;0,23;excellent;770;0,77;excellent;770;0,29;excellent;710;40808000;56437000;-15629000;arus kas negatif;0;593,75
Roy Jackson;54122000;>=25.000.000;1000;90258000;asset keluarga ;244185000;>=200000000;1000;Tabungan dan deposito;1882120000;>=1000000000 dan < 2000000000;750;2270685000;>= 1000000000 dan <5000000000;500;460080000;1810605000;0,2;excellent;800;0,8;excellent;800;0,25;excellent;750;47863000;14021000;33842000;arus kas positif;1000;825
Gregory Wagner;56737000;>=25.000.000;1000;77983000;asset keluarga ;902777000;>=200000000;1000;Kendaraan;6372062000;>=2000000000;1000;7409559000;>=7000000000;1000;472245000;6937314000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;86217000;14581000;71636000;arus kas positif;1000;976,25
Mrs. Dawn Sheppard;61304000;>=25.000.000;1000;36060000;property, plant and equipment;380196000;>=200000000;1000;Aset finansial lainnya;7459249000;>=2000000000;1000;7936809000;>=7000000000;1000;862896000;7073913000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;16734000;51426000;-34692000;arus kas negatif;0;832,5
Amy Garcia;36461000;>=25.000.000;1000;54337000;property, plant and equipment;598202000;>=200000000;1000;Rumah dan properti;5041883000;>=2000000000;1000;5730883000;>=5000000000 dan < 7000000000;1000;318568000;5412315000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;83036000;24581000;58455000;arus kas positif;1000;977,5
Stephanie Williams;47106000;>=25.000.000;1000;13349000;asset keluarga ;981942000;>=200000000;1000;Tabungan dan deposito;791180000;>= 500000000 dan <1000000000;500;1833577000;>= 1000000000 dan <5000000000;500;718104000;1115473000;0,39;good;610;0,61;good;610;0,64;good;360;10831000;55691000;-44860000;arus kas negatif;0;572,5
Jared Frazier;82342000;>=25.000.000;1000;19410000;property, plant and equipment;383880000;>=200000000;1000;Investasi;7294621000;>=2000000000;1000;7780253000;>=7000000000;1000;172506000;7607747000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;94957000;42935000;52022000;arus kas positif;1000;992,5
Patrick Cannon;45835000;>=25.000.000;1000;10582000;asset keluarga ;460563000;>=200000000;1000;Kendaraan;962063000;>= 500000000 dan <1000000000;500;1479043000;>= 1000000000 dan <5000000000;500;241823000;1237220000;0,16;excellent;840;0,84;excellent;840;0,2;excellent;800;92215000;25316000;66899000;arus kas positif;1000;810
Barry Powers;25994000;>=25.000.000;1000;92159000;inventory;334235000;>=200000000;1000;Aset finansial lainnya;3433687000;>=2000000000;1000;3886075000;>= 1000000000 dan <5000000000;500;713658000;3172417000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;41218000;60693000;-19475000;arus kas negatif;0;740
Lynn Dalton;79881000;>=25.000.000;1000;41227000;inventory;423824000;>=200000000;1000;Investasi;4209194000;>=2000000000;1000;4754126000;>= 1000000000 dan <5000000000;500;964587000;3789539000;0,2;excellent;800;0,8;excellent;800;0,25;excellent;750;24513000;43897000;-19384000;arus kas negatif;0;731,25
Emily Obrien;23712000;>=15.000.000 dan < 25.000.000;750;67425000;property, plant and equipment;691411000;>=200000000;1000;Rumah dan properti;9732804000;>=2000000000;1000;10515352000;>=7000000000;1000;490006000;10025346000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;22980000;11845000;11135000;arus kas positif;1000;950
Raymond Roberts;16021000;>=15.000.000 dan < 25.000.000;750;79198000;inventory;648641000;>=200000000;1000;Kendaraan;6247699000;>=2000000000;1000;6991559000;>=5000000000 dan < 7000000000;1000;239080000;6752479000;0,03;excellent;970;0,97;excellent;970;0,04;excellent;960;76478000;22497000;53981000;arus kas positif;1000;956,25
Sarah Cannon;16886000;>=15.000.000 dan < 25.000.000;750;66998000;property, plant and equipment;253551000;>=200000000;1000;Rumah dan properti;611330000;>= 500000000 dan <1000000000;500;948765000;<1000000000;250;758858000;189907000;0,8;bad;200;0,2;bad;200;4;bad;-3000;47835000;74604000;-26769000;arus kas negatif;0;-12,5
Madeline Smith;52246000;>=25.000.000;1000;85669000;inventory;407384000;>=200000000;1000;Tabungan dan deposito;7362187000;>=2000000000;1000;7907486000;>=7000000000;1000;954394000;6953092000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;38318000;83796000;-45478000;arus kas negatif;0;827,5
Brendan Perkins Jr.;45369000;>=25.000.000;1000;59966000;asset keluarga ;954663000;>=200000000;1000;Dana pensiun;211582000;<500000000;250;1271580000;>= 1000000000 dan <5000000000;500;615658000;655922000;0,48;good;520;0,52;good;520;0,94;bad;60;69697000;72714000;-3017000;arus kas negatif;0;481,25
Chad Taylor;18638000;>=15.000.000 dan < 25.000.000;750;83161000;asset keluarga ;610035000;>=200000000;1000;Tabungan dan deposito;875690000;>= 500000000 dan <1000000000;500;1587524000;>= 1000000000 dan <5000000000;500;888728000;698796000;0,56;good;440;0,44;good;440;1,27;bad;-270;76868000;56346000;20522000;arus kas positif;1000;545
Kevin Ramos;21443000;>=15.000.000 dan < 25.000.000;750;83575000;property, plant and equipment;506687000;>=200000000;1000;Kendaraan;8046252000;>=2000000000;1000;8657957000;>=7000000000;1000;999971000;7657986000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;37205000;51506000;-14301000;arus kas negatif;0;797,5
John Robbins;21491000;>=15.000.000 dan < 25.000.000;750;50378000;property, plant and equipment;202971000;>=200000000;1000;Tabungan dan deposito;6942005000;>=2000000000;1000;7216845000;>=7000000000;1000;376190000;6840655000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;80986000;90801000;-9815000;arus kas negatif;0;825
Erika Gutierrez MD;57670000;>=25.000.000;1000;18710000;property, plant and equipment;556839000;>=200000000;1000;Tabungan dan deposito;9984464000;>=2000000000;1000;10617683000;>=7000000000;1000;561257000;10056426000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;91222000;66110000;25112000;arus kas positif;1000;980
Zachary Abbott;43174000;>=25.000.000;1000;74821000;inventory;779675000;>=200000000;1000;Aset finansial lainnya;5026748000;>=2000000000;1000;5924418000;>=5000000000 dan < 7000000000;1000;524336000;5400082000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;32116000;58911000;-26795000;arus kas negatif;0;840
Darren Smith;58057000;>=25.000.000;1000;19298000;inventory;818272000;>=200000000;1000;Aset finansial lainnya;379418000;<500000000;250;1275045000;>= 1000000000 dan <5000000000;500;403341000;871704000;0,32;good;680;0,68;good;680;0,46;good;540;33897000;85415000;-51518000;arus kas negatif;0;581,25
Richard Howe;97106000;>=25.000.000;1000;24371000;asset keluarga ;123770000;>=100000000 dan < 200000000;750;Aset finansial lainnya;245474000;<500000000;250;490721000;<1000000000;250;500919000;-10198000;1,02;bad;-20;-0,02;bad;-20;-49,12;bad;50120;69083000;97207000;-28124000;arus kas negatif;0;6541,25
Mary Solis;6099000;>= 5.000.000 dan <15.000.000;500;53256000;inventory;726575000;>=200000000;1000;Aset finansial lainnya;843619000;>= 500000000 dan <1000000000;500;1629549000;>= 1000000000 dan <5000000000;500;804151000;825398000;0,49;good;510;0,51;good;510;0,97;bad;30;76395000;43556000;32839000;arus kas positif;1000;568,75
Derek Kent;79124000;>=25.000.000;1000;52014000;inventory;180812000;>=100000000 dan < 200000000;750;Dana pensiun;1829220000;>=1000000000 dan < 2000000000;750;2141170000;>= 1000000000 dan <5000000000;500;599353000;1541817000;0,28;excellent;720;0,72;excellent;720;0,39;good;610;23040000;62765000;-39725000;arus kas negatif;0;631,25
Edward Nicholson;49978000;>=25.000.000;1000;63985000;inventory;239836000;>=200000000;1000;Aset finansial lainnya;2041034000;>=2000000000;1000;2394833000;>= 1000000000 dan <5000000000;500;130429000;2264404000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;18641000;23851000;-5210000;arus kas negatif;0;792,5
Craig Morgan;92183000;>=25.000.000;1000;20067000;property, plant and equipment;443174000;>=200000000;1000;Aset finansial lainnya;7937722000;>=2000000000;1000;8493146000;>=7000000000;1000;260421000;8232725000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;16712000;51183000;-34471000;arus kas negatif;0;863,75
George Larsen;78735000;>=25.000.000;1000;24897000;inventory;727881000;>=200000000;1000;Tabungan dan deposito;7856976000;>=2000000000;1000;8688489000;>=7000000000;1000;133978000;8554511000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;30820000;78127000;-47307000;arus kas negatif;0;867,5
Catherine Chapman;32423000;>=25.000.000;1000;44369000;asset keluarga ;596475000;>=200000000;1000;Rumah dan properti;6534150000;>=2000000000;1000;7207417000;>=7000000000;1000;985475000;6221942000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;60287000;78186000;-17899000;arus kas negatif;0;820
Betty Chavez;51544000;>=25.000.000;1000;41693000;inventory;149884000;>=100000000 dan < 200000000;750;Rumah dan properti;1026015000;>=1000000000 dan < 2000000000;750;1269136000;>= 1000000000 dan <5000000000;500;271400000;997736000;0,21;excellent;790;0,79;excellent;790;0,27;excellent;730;19952000;88883000;-68931000;arus kas negatif;0;663,75
Robert Steele;53694000;>=25.000.000;1000;95829000;asset keluarga ;521426000;>=200000000;1000;Tabungan dan deposito;2588424000;>=2000000000;1000;3259373000;>= 1000000000 dan <5000000000;500;973639000;2285734000;0,3;good;700;0,7;good;700;0,43;good;570;51727000;55218000;-3491000;arus kas negatif;0;683,75
Christopher Huber;78573000;>=25.000.000;1000;89024000;inventory;953731000;>=200000000;1000;Aset finansial lainnya;2886341000;>=2000000000;1000;4007669000;>= 1000000000 dan <5000000000;500;301531000;3706138000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;51785000;92471000;-40686000;arus kas negatif;0;782,5
Paul Montgomery;22212000;>=15.000.000 dan < 25.000.000;750;79635000;property, plant and equipment;140429000;>=100000000 dan < 200000000;750;Kendaraan;9332950000;>=2000000000;1000;9575226000;>=7000000000;1000;570761000;9004465000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;56653000;92782000;-36129000;arus kas negatif;0;790
Anna Gibson;66476000;>=25.000.000;1000;80716000;inventory;409229000;>=200000000;1000;Rumah dan properti;3905179000;>=2000000000;1000;4461600000;>= 1000000000 dan <5000000000;500;977094000;3484506000;0,22;excellent;780;0,78;excellent;780;0,28;excellent;720;56001000;61001000;-5000000;arus kas negatif;0;722,5
Justin Hill;90588000;>=25.000.000;1000;28877000;inventory;641548000;>=200000000;1000;Dana pensiun;2039621000;>=2000000000;1000;2800634000;>= 1000000000 dan <5000000000;500;172860000;2627774000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;68564000;59328000;9236000;arus kas positif;1000;913,75
Joshua Stewart;78861000;>=25.000.000;1000;74823000;property, plant and equipment;188940000;>=100000000 dan < 200000000;750;Tabungan dan deposito;9678588000;>=2000000000;1000;10021212000;>=7000000000;1000;515832000;9505380000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;97660000;12603000;85057000;arus kas positif;1000;950
Jennifer Jenkins;90912000;>=25.000.000;1000;71096000;asset keluarga ;695271000;>=200000000;1000;Tabungan dan deposito;8839338000;>=2000000000;1000;9696617000;>=7000000000;1000;513604000;9183013000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;87655000;73954000;13701000;arus kas positif;1000;980
Jermaine Reynolds;88791000;>=25.000.000;1000;90002000;asset keluarga ;678029000;>=200000000;1000;Aset finansial lainnya;7645283000;>=2000000000;1000;8502105000;>=7000000000;1000;208348000;8293757000;0,02;excellent;980;0,98;excellent;980;0,03;excellent;970;75664000;39954000;35710000;arus kas positif;1000;991,25
Matthew Zimmerman;66230000;>=25.000.000;1000;68163000;inventory;520437000;>=200000000;1000;Tabungan dan deposito;4192466000;>=2000000000;1000;4847296000;>= 1000000000 dan <5000000000;500;116502000;4730794000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;32912000;33767000;-855000;arus kas negatif;0;805
Chad Ortiz;24368000;>=15.000.000 dan < 25.000.000;750;21534000;property, plant and equipment;634622000;>=200000000;1000;Aset finansial lainnya;8746736000;>=2000000000;1000;9427260000;>=7000000000;1000;891783000;8535477000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;89067000;72646000;16421000;arus kas positif;1000;933,75
Anthony Burns;15175000;>=15.000.000 dan < 25.000.000;750;65362000;property, plant and equipment;766893000;>=200000000;1000;Kendaraan;1033161000;>=1000000000 dan < 2000000000;750;1880591000;>= 1000000000 dan <5000000000;500;227536000;1653055000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;47894000;15836000;32058000;arus kas positif;1000;827,5
Lori Casey;49632000;>=25.000.000;1000;36583000;asset keluarga ;509731000;>=200000000;1000;Investasi;2847964000;>=2000000000;1000;3443910000;>= 1000000000 dan <5000000000;500;232747000;3211163000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;71212000;78276000;-7064000;arus kas negatif;0;786,25
